,iso,covax_total,avat_total,bilateral_total,donation_total,GGHE,Funding_amount,Funding amount utilized,Disbursement amount,Proportion_utilized,vaccine_willingness,funding_as_GGHE_prop,country,xcovax_offer,xcovax_strtemp,xcovax_should_have,name_short,income_group,population,Administration_rate_fully_vaccianted_70,per_population_current_doses_remaining_country,per_population_courses_secured_shipped_per_country,num_courses_remaining_country,num_doses_administered_per_capita,per_courses_req_secured_WHO_70,per_courses_shipped_WHO_70,per_courses_secured_WHO_70,doses_administered_by_population,num_courses_administered_WHO_70,num_courses_secured_WHO_70,num_courses_shipped_WHO_70,per_courses_administered_WHO_70,WHO_70per_global_target_vaccination_coverage_by_mid_status,WHO_40per_global_target_vaccination_coverage_by_mid_status,WHO_20per_global_target_vaccination_coverage_by_mid_status,WHO_10per_global_target_vaccination_coverage_by_mid_status,num_of_courses_required_WHO_70per,num_of_courses_required_administered_WHO_70per,num_of_courses_required_shipped_WHO_70per,num_of_courses_required_secured_WHO_70per,num_of_courses_required_WHO_40per,num_of_courses_required_administered_WHO_40per,num_of_courses_required_shipped_WHO_40per,num_of_courses_required_secured_WHO_40per,num_of_doses_administered_date,num_of_courses_secured,num_of_courses_delivered_date,num_of_doses_delivered_date,num_of_doses_remaining_in_country,per_of_population_fully_vaccinated_per_country,per_of_population_coverage_in_national_target_definition,Administration_rate__fully_vaccinated_4wk_average,National_target_deadline,Progress_national_target,National_target_detail,Progress_target_per_country,COVAX_participation_modality,total_vaccine_doses_received_utilized,who_region,vaccine_courses_secured_population,courses_delivered_date_population,Number_individuals_fully_vaccinated_any_product_from_any_source,day_average_of_individuals_fully_vaccinated,day_average_of_total_COVID_vaccine,days_until_country_coverage_target_achievement,doses_remaining_in_country_population,Vaccination_60_above,Vaccination_for_HCW,t70_scaleup,reported_supply_bottleneck,reported_lack_funding_bottleneck,reported_delivery_bottleneck,reported_health_bottleneck_bottleneck,reported_demand_challenges_bottleneck,reported_strategy_protocols_bottleneck,reported_needs_risk_and_engagement_strategies,reported_needs_health_recruitment_and_training,reported_needs_rapid_or_to_and_gaps_health_absorption_capacities,reported_needs_financial_support_support,reported_needs_procurement_vaccines_vaccines,reported_needs_guidance_developing_policies_or_for_up_vaccination_vaccination,reported_needs_operational_and_for_chain_management,Intent_to_vaccinate1,Name,Mortality,Primary_series_coverage,first_dose_coverage,pop_60,pop_hcw
11,ABW,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aruba,HIC,106766,0,0,NA,0,1.595011521,NA,0.003491059,NA,1.595011521,81923,NA,287,0.003491059,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,82210,287,0,NA,46977,0,0,NA,170293,NA,93678,187356,0,0.767313564,NA,0.000167589,,Not captured,NA,70% target met,,1,AMR,NA,0.877414158,81923,0.000318453,34,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aruba,0,76.731,82.77,24177,NA
12,AUS,513630,0,254800000,NA,NA,NA,NA,NA,NA,0.944,NA,NA,NA,NA,NA,Australia,HIC,25499884,0,0.00155734,3.750646258,39712,2.256832306,0,0,0,2.256832306,19634911,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,19634911,0,0,0,11219949,0,0,0,57548962,127656814,32015770,64031540,79424,0.843225522,NA,0.000429141,,Not captured,NA,70% target met,Self-financing,0.998759611,WPR,5.006172361,1.255526104,21502153,0.001689792,43089.5,NA,0.003114681,0.538560953,NA,0,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,93.3,Australia,0.875,84.427,87.37,5699522,1792626
13,AUT,0,0,NA,NA,NA,NA,NA,NA,NA,0.832,NA,NA,NA,NA,NA,Austria,HIC,8901064,0,0.924230294,1.029832726,8226633,2.048571047,0,0.036734119,0,2.048571047,6602050,0,251769,0.036734119,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,6853819,251769,0,0,3916468,0,0,0,18234462,28437567,19270960,38541920,16453266,0.741714698,0.5,6.45E-05,,Goal met,0.5,70% target met,No,0.573107256,EUR,3.194850301,2.165017575,6602050,0.000986824,8783.785714,0,1.848460589,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,Austria,0.595,74.206,76.64,2366793,475869
14,AZE,2022390,0,9300000,150000,437525105.3,1100000,NA,0,NA,0.887,0.002514141,NA,NA,NA,NA,Azerbaijan,UMIC,10139175,0.007035042,0.002263813,0,22953.2,1.32824791,0.039962137,0.341471968,-0.001560618,1.32824791,4841430,-12184,2665928,0.379873488,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,7807165,2965735,299807,311991,4461237,0,0,0,13467338,7495174,7507358,15014716,45906.4,0.47749743,NA,9.46E-05,,Not captured,NA,"40% target met, not on track for 70%",Self-financing,0.996942573,EUR,0.739229178,0.740430854,4841430,0.000921334,9341.571429,NA,0.004527627,0,0,7.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,Azerbaijan,0,47.769,52.885,1254698,189417
15,BHS,158130,38400,NA,285950,NA,NA,NA,NA,NA,0.837,NA,NA,NA,NA,NA,Bahamas,HIC,393244,0.010267462,0.190562602,0.133456582,74937.6,0.866805342,0,0.378701312,0.099617567,0.866805342,157964,30164,114670,0.478318879,Off track,2) Goal met after deadline,1) Goal met by deadline,1) Goal met by deadline,302798,144834,30164,0,173027,15063,0,0,340866,325115,272634,545268,149875.2,0.401694622,NA,0.000122516,,Not captured,NA,"between 10% and 40%, off track for 70%",Self-financing,0.725134796,AMR,0.82675133,0.693294748,157964,0.000466541,183.4642857,NA,0.381125205,NA,NA,22.01,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,Bahamas,0,40.169,42.333,50458,11955
16,BHR,107820,0,3.00E+06,1.00E+05,NA,NA,NA,NA,NA,0.898,NA,NA,NA,NA,NA,Bahrain,HIC,1701575,0,0,0,0,2.017943964,0,0.069906954,0,2.017943964,1218620,0,91593,0.069906954,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,1310213,91593,0,0,748693,0,0,0,3433683,1886690,1888526,3777051,0,0.716171782,NA,3.98E-05,,Not captured,NA,70% target met,Self-financing,1,EMR,1.108790679,1.109869386,1218620,0.000188103,320.0714286,NA,0,NA,NA,0,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,Bahrain,0.059,71.647,72.573,98872,5071
17,BGD,171545040,0,1.08E+08,27758090,1148322594,1505254614,10151221,18938137.01,1.865601883,0.987,1.310829049,NA,NA,NA,NA,Bangladesh,LMIC,164689383,0,0.710622858,0,117032040.1,1.561384683,0,0.083548593,0,1.561384683,116215959,0,10594866,0.083548593,Goal met,2) Goal met after deadline,1) Goal met by deadline,1) Goal met by deadline,126810825,10594866,0,0,72463329,0,0,0,257143480,271393158,272893089,545786178,234064080.2,0.705667584,0.7,0.001843996,6/30/2022,Goal met,0.7,70% target met,AMC,0.571143262,SEAR,1.647909252,1.657016889,116215959,0.00288319,474830.7857,0,1.421245717,0.564522401,NA,0,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,99.1,Bangladesh,0,70.694,78.067,13696840,556201
18,BRB,114840,0,30000,367400,149463302,894200,NA,356127.02,NA,NA,0.005982739,NA,NA,NA,NA,Barbados,HIC,287375,0.005511962,0.172816007,0,49663,1.258599391,0,0.31345496,0,1.258599391,151918,0,69361,0.31345496,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,221279,69361,0,0,126445,0,0,0,361690,256120,256120,512240,99326,0.528640278,NA,9.68E-05,,Not captured,NA,"40% target met, not on track for 70%",Self-financing,0.806094799,AMR,0.891239669,0.891239669,151918,0.000170012,48.85714286,NA,0.345632014,NA,NA,32.42,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,NA,Barbados,3.132,52.864,56.269,68331,7508
19,BLR,0,0,2100000,1510000,2371102058,5.00E+05,NA,0,NA,0.701,0.000210872,NA,NA,NA,NA,Belarus,UMIC,9449321,0.002762858,0,0,0,1.285174141,0.109673244,0.13911149,-0.027654705,1.285174141,5667040,-201215,1012172,0.221130028,Off track,2) Goal met after deadline,1) Goal met by deadline,1) Goal met by deadline,7275977,1608937,596765,797980,4157701,0,0,0,12144023,6477998,6679212,13358425,0,0.599729864,NA,0.001340531,,Not captured,NA,"between 10% and 40%, off track for 70%",No,1,EUR,0.685551639,0.706845709,5667040,0.002767406,26150.10714,NA,0,NA,0.838760954,1,No,No,No,No,No,No,No,No,No,No,No,No,No,63.7,Belarus,0.243,61.064,65.383,2195420,385996
20,BEL,0,0,NA,NA,NA,NA,NA,NA,NA,0.909,NA,NA,NA,NA,NA,Belgium,HIC,11522440,0,0,2.014392741,0,2.193817369,0,0,0,2.193817369,8872279,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,8872279,0,0,0,5069874,0,0,0,25278129,36579968,13369248,26738495,0,0.792163552,NA,4.65E-05,,Not captured,NA,70% target met,No,1,EUR,3.174671988,1.160279246,9127657,0.001488335,17149.25,NA,0,1,0.833430662,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.2,Belgium,0.451,79.237,80.084,3025414,727440
21,BLZ,159300,148800,NA,506150,75151620.01,6057975,NA,822265.98,NA,0.929,0.080610039,NA,NA,NA,NA,Belize,LMIC,397628,0.00488177,0.327402748,0.203178599,130184.5,1.188185943,0,0.311159667,0,1.188185943,210905,0,95269,0.311159667,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,306174,95269,0,0,174956,0,0,0,472456,487914,407125,814250,260369,0.530407818,NA,0.000119818,,Not captured,NA,"40% target met, not on track for 70%",Self-financing,0.680234572,AMR,1.227062732,1.023884133,210905,0.000338076,134.4285714,NA,0.654805497,0.650827934,0.57466576,14.44,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,Belize,0,53.041,59.621,31947,4413
22,BEN,3321540,398400,103000,1.00E+05,69958487.2,57937687,1974300,3434389.813,1.7395481,0.853,0.828172382,NA,NA,NA,NA,Benin,LMIC,12123200,0.011452933,0.068848406,0.204384362,834663,0.274964531,0.43683036,0.016872126,0.265434183,0.274964531,2621821,2477792,157499,0.719136669,Off track,3) Goal not yet met,2) Goal met after deadline,2) Goal met after deadline,9334864,6713043,6555544,4077752,5334208,2712387,2554888,77096,3333450,5257112,2779320,5558640,1669326,0.216264765,0.6,0.000418592,6/30/2022,Off track,0.6,NA,AMC,0.699688053,AFR,0.433640664,0.229256302,2621821,0.000670288,8126.035714,1079,0.137696813,0.132797288,0.820337316,17.09,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,88.2,Benin,0,21.655,26.048,637431,48797
23,BMU,9600,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bermuda,HIC,62273,0,0,NA,0,2.090456538,NA,0.010198123,NA,2.090456538,47461,NA,489,0.010198123,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,47950,489,0,NA,27400,0,0,NA,130179,NA,72293,144586,0,0.762144107,NA,0.000255786,,Not captured,NA,70% target met,,1,AMR,NA,1.160904405,47461,0.001532423,95.42857143,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bermuda,4.817,76.214,77.737,NA,NA
24,BTN,505850,0,198900,1032500,61654608.56,3633845,230000,1108537.25,4.819727174,NA,0.058938741,NA,NA,NA,NA,Bhutan,LMIC,771608,0,0,0.291506827,0,2.465549865,0,0,0,2.465549865,594138,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,594138,0,0,0,339508,0,0,0,1902438,1271270,1046341,2092682,0,0.868709241,0.95,0.004102518,12/31/2022,On track,0.95,70% target met,AMC,1,SEAR,1.647559382,1.356052555,670303,0.004823971,3722.214286,28,0,NA,NA,0,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,Bhutan,0,87.027,89.754,71223,12228
25,BOL,6735140,0,11700000,3650000,1806638708,6065184,920000,920000,1,0.944,0.003357165,NA,NA,NA,NA,Bolivia,LMIC,11673021,0.004917518,0.361613545,0.347015567,4221122.5,1.160976152,0,0.34162837,0,1.160976152,5917593,0,3070633,0.34162837,Off track,2) Goal met after deadline,1) Goal met by deadline,1) Goal met by deadline,8988226,3070633,0,0,5136129,0,0,0,13552099,16269800,12219080,24438160,8442245,0.506946145,0.8,0.000347957,12/31/2022,Off track,0.8,"between 10% and 40%, off track for 70%",AMC,0.654546619,AMR,1.393795145,1.046779578,5917593,0.001206222,14080.25,397,0.723227089,0.704871709,1,4.08,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,93.9,Bolivia (Plurinational State of),0.12,50.695,61.413,1245333,132813
26,BES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.41,22.034,NA,NA
27,BIH,332640,0,9.00E+05,2316440,1252696525,4050000,NA,121306.74,NA,0.771,0.003233026,NA,NA,NA,NA,Bosnia & Herzegovina,UMIC,3280815,0.015260075,0.088093964,0.194003624,289020,0.586729212,0.197602117,0.215526865,0.251952714,0.586729212,846080,636490,544470,0.665081695,Off track,3) Goal not yet met,2) Goal met after deadline,1) Goal met by deadline,2526228,1680148,1135678,499188,1443559,597479,53009,0,1924950,2027040,1390550,2781100,578040,0.257887141,NA,0.004727604,,Not captured,NA,"between 10% and 40%, off track for 70%",Self-financing,0.792154184,EUR,0.61784648,0.423842856,846080,0.004039458,13252.71429,NA,0.176187929,0.041229123,0.015042183,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.7,Bosnia and Herzegovina,0.091,25.789,28.755,848963,55710
28,BWA,1038240,1346400,9.00E+05,280400,843425084.1,4923905,NA,223226.42,NA,0.45,0.005837987,NA,NA,NA,NA,Botswana,UMIC,2351627,0.003669942,0.137988508,0.559575137,324497.5,0.816441128,0,0.051766862,0.211819613,0.816441128,1333463,383553,93737,0.263586475,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,1810753,477290,383553,0,1034716,0,0,0,1919965,2743112,1427200,2854400,648995,0.56703848,0.64,0.000611157,12/31/2021,Deadline past,0.64,"40% target met, not on track for 70%",Self-financing,0.772633478,AFR,1.166474105,0.606898968,1333463,0.004118486,9685.142857,21,0.275977015,1,0.821262177,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Botswana,0,56.967,62.919,171500,23610
29,BRA,13881600,0,4.47E+08,5216600,74055620039,4502593,NA,89797.74,NA,0.964,6.08E-05,NA,NA,NA,NA,Brazil,UMIC,212559417,0,0.279121284,0.01830546,59329857.5,1.939361412,0,0.029315611,0,1.939361412,158872643,0,4798108,0.029315611,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,163670751,4798108,0,0,93526143,0,0,0,412229531,298829468,294938470,589876940,118659715,0.747426979,NA,0.000525818,,Not captured,NA,70% target met,Self-financing,0.798839882,AMR,1.405863227,1.387557767,158872643,0.002197717,467145.3571,NA,0.558242569,0.979307541,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.6,Brazil,0.296,74.743,84.09,31043870,4831725
30,VGB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,British Virgin Islands,HIC,30237,0.003085624,0,NA,0,1.35043159,NA,0.198393609,NA,1.35043159,17839,NA,4619,0.233785757,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,23282,5443,824,NA,13304,0,0,NA,40833,NA,22458,44917,0,0.58997255,NA,0.000227961,,Not captured,NA,"40% target met, not on track for 70%",,1,AMR,NA,0.742732414,17839,0.000349619,10.57142857,NA,0,NA,NA,8.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,British Virgin Islands,0,58.997,63.723,NA,NA
31,BRN,100800,0,500690,352000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brunei,HIC,437479,0,0,0,0,2.479074424,0,0,0,2.479074424,336859,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,336859,0,0,0,192491,0,0,0,1084543,596499,596499,1192998,0,0.926705053,NA,5.11E-05,,Not captured,NA,70% target met,Self-financing,1,WPR,1.363491733,1.363491733,405414,0.001852987,810.6428571,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brunei Darussalam,0.229,92.671,94.189,44365,6106
32,BGR,0,0,NA,NA,2803357766,1300000,NA,0,NA,0.664,0.00046373,NA,NA,NA,NA,Bulgaria,UMIC,6951482,0.014360909,0.529093005,2.182602645,3677980.5,0.628908915,0,0.615959673,0,0.628908915,2055630,0,3297011,0.615959673,Off track,3) Goal not yet met,1) Goal met by deadline,1) Goal met by deadline,5352641,3297011,0,0,3058652,1003022,0,0,4371849,21687773,6515450,13030900,7355961,0.295711044,NA,3.26E-05,,Not captured,NA,"between 10% and 40%, off track for 70%",No,0.435498623,EUR,3.119877603,0.937274958,2055630,0.00018456,1282.964286,NA,1.05818601,0.764250459,0.424739901,77.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,Bulgaria,0.791,29.584,30.019,1959779,164649
